"Laikotarpis","Rodiklis","Amžiaus grupės","Periodas","Lytis","Matavimo vienetai","Reikšmė","Patikslinimas"
"2014","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kasdien","Vyrai","proc.","33.9",""
"2019","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kasdien","Vyrai","proc.","29.9",""
"2014","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kasdien","Moterys","proc.","9.2",""
"2019","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kasdien","Moterys","proc.","9.7",""
"2014","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kartais","Vyrai","proc.","6.4",""
"2019","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kartais","Vyrai","proc.","6.4",""
"2014","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kartais","Moterys","proc.","3.1",""
"2019","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","kartais","Moterys","proc.","3.5",""
"2014","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","nerūko","Vyrai","proc.","59.7",""
"2019","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","nerūko","Vyrai","proc.","63.8",""
"2014","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","nerūko","Moterys","proc.","87.7",""
"2019","Gyventojų tabako gaminių rūkymo įpročiai","Iš viso pagal amžių","nerūko","Moterys","proc.","86.8",""
